"","ETH.group","tot_births","mbirths","fbirths","year"
"293","IND",34393.666099875,17616.268002375,16777.3980975,"2035"
"294","MIX",52782.4550222793,27034.9159870211,25747.5390352582,"2035"
"295","OAS",21010.4806469248,10761.4656972054,10249.0149497194,"2035"
"296","OBL",6170.50381290871,3160.50195295324,3010.00185995547,"2035"
"297","OTH",7310.17679390073,3744.23689443696,3565.93989946377,"2035"
"298","PAK",54812.7320355188,28074.8139694121,26737.9180661067,"2035"
"299","WBI",472141.916814478,241828.786661074,230313.130153404,"2035"
"300","WHO",42337.9763085994,21685.3049385509,20652.6713700485,"2035"
"301","BAN",19846.0455462484,10165.0477188102,9680.99782743826,"2036"
"302","BLA",34986.6264254246,17919.9793886321,17066.6470367925,"2036"
"303","BLC",6771.83695455175,3468.50185477041,3303.33509978134,"2036"
"304","CHI",7687.62454094744,3937.56378926576,3750.06075168168,"2036"
"305","IND",34856.2364224105,17853.1942651371,17003.0421572734,"2036"
"306","MIX",53168.7773526085,27232.7884001166,25935.988952492,"2036"
"307","OAS",21192.0161042486,10854.4472729078,10337.5688313408,"2036"
"308","OBL",6177.14222463891,3163.90211505895,3013.24010957996,"2036"
"309","OTH",7281.16672473557,3729.3780785231,3551.78864621247,"2036"
"310","PAK",55941.9067347869,28653.1717422079,27288.734992579,"2036"
"311","WBI",472216.790210799,241867.136449433,230349.653761365,"2036"
"312","WHO",42443.7534862308,21739.4834929475,20704.2699932833,"2036"
"313","BAN",20063.6963706649,10276.5274093649,9787.16896129995,"2037"
"314","BLA",35257.3490205399,18058.6421812521,17198.7068392878,"2037"
"315","BLC",6778.15529982361,3471.73808039746,3306.41721942615,"2037"
"316","CHI",7599.12897774933,3892.23679348136,3706.89218426796,"2037"
"317","IND",35322.4061744795,18091.964138148,17230.4420363314,"2037"
"318","MIX",53509.0084098457,27407.0530879697,26101.9553218759,"2037"
"319","OAS",21359.2450553809,10940.1011259268,10419.1439294541,"2037"
"320","OBL",6172.11727313526,3161.32835941074,3010.78891372452,"2037"
"321","OTH",7236.70168811446,3706.60330366838,3530.09838444608,"2037"
"322","PAK",57089.1059580923,29240.7615882912,27848.3443698011,"2037"
"323","WBI",472259.55325197,241889.039470521,230370.513781449,"2037"
"324","WHO",42529.9349246059,21783.625205286,20746.30971932,"2037"
"325","BAN",20271.6365517719,10383.0333557856,9888.60319598632,"2038"
"326","BLA",35496.3216598916,18181.0428014079,17315.2788584837,"2038"
"327","BLC",6783.44445131292,3474.44715798954,3308.99729332337,"2038"
"328","CHI",7511.71769692139,3847.46516183779,3664.25253508361,"2038"
"329","IND",35781.8153259044,18327.2712644876,17454.5440614168,"2038"
"330","MIX",53810.0480933064,27561.2441453521,26248.8039479543,"2038"
"331","OAS",21514.9167326283,11019.8353996389,10495.0813329894,"2038"
"332","OBL",6158.70119447341,3154.45670936443,3004.24448510898,"2038"
"333","OTH",7180.03513611657,3677.57897215727,3502.45616395931,"2038"
"334","PAK",58258.171554187,29839.5512838519,28418.6202703351,"2038"
"335","WBI",472253.903735532,241886.145815761,230367.757919772,"2038"
"336","WHO",42593.213784296,21816.0363285419,20777.1774557542,"2038"
"337","BAN",20470.3642928468,10484.8207353606,9985.54355748624,"2039"
"338","BLA",35704.5119161564,18287.6768351045,17416.8350810519,"2039"
"339","BLC",6787.79238729342,3476.67414958931,3311.11823770411,"2039"
"340","CHI",7428.47028972989,3804.82624595921,3623.64404377068,"2039"
"341","IND",36224.3205427465,18553.9202779921,17670.4002647544,"2039"
"342","MIX",54075.6841906756,27697.3016586387,26378.3825320369,"2039"
"343","OAS",21659.6480616915,11093.9660803786,10565.6819813129,"2039"
"344","OBL",6138.96221724228,3144.34650151434,2994.61571572794,"2039"
"345","OTH",7113.41517338511,3643.45655222164,3469.95862116347,"2039"
"346","PAK",59444.784820043,30447.3288102659,28997.4560097771,"2039"
"347","WBI",472190.056868435,241853.443761881,230336.613106554,"2039"
"348","WHO",42628.9445332204,21834.3374438446,20794.6070893758,"2039"
"349","BAN",20657.182984289,10580.5083578066,10076.6746264825,"2040"
"350","BLA",35885.1632772881,18380.20558105,17504.9576962381,"2040"
"351","BLC",6791.74647400159,3478.69941351301,3313.04706048858,"2040"
"352","CHI",7350.27472492378,3764.7748591073,3585.49986581648,"2040"
"353","IND",36642.7274354759,18768.2262474389,17874.501188037,"2040"
"354","MIX",54309.890811998,27817.2611476087,26492.6296643893,"2040"
"355","OAS",21794.9766710972,11163.2807339766,10631.6959371206,"2040"
"356","OBL",6115.16126917009,3132.15577201395,2983.00549715614,"2040"
"357","OTH",7038.88375245041,3605.28192198679,3433.60183046361,"2040"
"358","PAK",60641.2010848712,31060.127384934,29581.0736999372,"2040"
"359","WBI",472033.971378414,241773.497535285,230260.473843129,"2040"
"360","WHO",42634.8095864062,21837.3414954763,20797.4680909298,"2040"
"361","BAN",20832.7753240889,10670.4458977041,10162.3294263848,"2041"
"362","BLA",36041.0786398576,18460.0646691954,17581.0139706623,"2041"
"363","BLC",6795.61836895158,3480.6825792191,3314.93578973248,"2041"
"364","CHI",7277.68659703365,3727.59557409041,3550.09102294324,"2041"
"365","IND",37031.9285325889,18967.5731508382,18064.3553817507,"2041"
"366","MIX",54519.9722164293,27924.8638181711,26595.1083982582,"2041"
"367","OAS",21924.0315243756,11229.38200029,10694.6495240857,"2041"
"368","OBL",6089.64252031019,3119.08519332961,2970.55732698058,"2041"
"369","OTH",6959.25126965264,3564.49455274891,3394.75671690372,"2041"
"370","PAK",61844.5721444402,31676.4881715426,30168.0839728977,"2041"
"371","WBI",471794.537232261,241650.860533597,230143.676698664,"2041"
"372","WHO",42617.7800757193,21828.6190631733,20789.161012546,"2041"
"373","BAN",20996.8290626024,10754.4734223086,10242.3556402939,"2042"
"374","BLA",36167.0777101446,18524.6007783667,17642.4769317778,"2042"
"375","BLC",6799.6730260213,3482.7593547914,3316.9136712299,"2042"
"376","CHI",7208.0913244153,3691.94921494442,3516.14210947088,"2042"
"377","IND",37389.1214151869,19150.5256029006,18238.5958122863,"2042"
"378","MIX",54711.3738892361,28022.8988213161,26688.47506792,"2042"
"379","OAS",22047.7880724056,11292.7695005004,10755.0185719052,"2042"
"380","OBL",6063.93527120174,3105.91806573748,2958.01720546426,"2042"
"381","OTH",6877.08392562924,3522.40883995644,3354.6750856728,"2042"
"382","PAK",63050.7425817879,32294.2827857938,30756.4597959941,"2042"
"383","WBI",471513.217602392,241506.769991469,230006.447610923,"2042"
