"","ETH.group","agegrp","sex","deaths","year"
"436","WBI","[35,40)","M",1611.12008683519,"2011"
"437","WBI","[40,45)","F",1711.2120364517,"2011"
"438","WBI","[40,45)","M",2702.87337070002,"2011"
"439","WBI","[45,50)","F",2802.36568209989,"2011"
"440","WBI","[45,50)","M",4021.65051736435,"2011"
"441","WBI","[50,55)","F",4192.65255420825,"2011"
"442","WBI","[50,55)","M",5790.34743310083,"2011"
"443","WBI","[55,60)","F",5719.50229287996,"2011"
"444","WBI","[55,60)","M",8364.03683565469,"2011"
"445","WBI","[60,65)","F",9668.2623939045,"2011"
"446","WBI","[60,65)","M",14001.991727065,"2011"
"447","WBI","[65,70)","F",13341.3800468448,"2011"
"448","WBI","[65,70)","M",18569.4427414951,"2011"
"449","WBI","[70,75)","F",17347.2235320068,"2011"
"450","WBI","[70,75)","M",23214.5513177852,"2011"
"451","WBI","[75,80)","F",27116.4888269164,"2011"
"452","WBI","[75,80)","M",30611.9402930739,"2011"
"453","WBI","[80,85)","F",40779.865062695,"2011"
"454","WBI","[80,85)","M",35935.1683488563,"2011"
"455","WBI","[85,90)","F",47786.8300775593,"2011"
"456","WBI","[85,90)","M",31431.4477340857,"2011"
"457","WBI","[90,95)","F",36154.2631648747,"2011"
"458","WBI","[90,95)","M",16519.618836637,"2011"
"459","WBI","[95,100)","F",16688.1094257088,"2011"
"460","WBI","[95,100)","M",4996.03001357959,"2011"
"461","WBI","[100,105)","F",3254.38107383354,"2011"
"462","WBI","[100,105)","M",704.861077098641,"2011"
"463","WHO","[0,5)","F",34.3769615233135,"2011"
"464","WHO","[0,5)","M",41.2899952788324,"2011"
"465","WHO","[5,10)","F",5.98658718120358,"2011"
"466","WHO","[5,10)","M",6.80033471978462,"2011"
"467","WHO","[10,15)","F",5.33710677614549,"2011"
"468","WHO","[10,15)","M",6.96328116453397,"2011"
"469","WHO","[15,20)","F",8.90103799674173,"2011"
"470","WHO","[15,20)","M",17.6677738078707,"2011"
"471","WHO","[20,25)","F",22.965842898533,"2011"
"472","WHO","[20,25)","M",46.4161692835778,"2011"
"473","WHO","[25,30)","F",50.1119089564179,"2011"
"474","WHO","[25,30)","M",93.5284949266024,"2011"
"475","WHO","[30,35)","F",74.1982688351297,"2011"
"476","WHO","[30,35)","M",122.687361640981,"2011"
"477","WHO","[35,40)","F",69.2444834089941,"2011"
"478","WHO","[35,40)","M",124.724479041372,"2011"
"479","WHO","[40,45)","F",93.5972925772784,"2011"
"480","WHO","[40,45)","M",141.431658356553,"2011"
"481","WHO","[45,50)","F",117.635534787352,"2011"
"482","WHO","[45,50)","M",162.659783857267,"2011"
"483","WHO","[50,55)","F",149.591744380508,"2011"
"484","WHO","[50,55)","M",199.521147064054,"2011"
"485","WHO","[55,60)","F",174.009133045052,"2011"
